County,2013 Per Capita Personal Income,2014 Per Capita Personal Income,2015 Per Capita Personal Income,2016 Per Capita Personal Income,2017 Per Capita Personal Income,2018 Per Capita Personal Income,2019 Per Capita Personal Income,2020 Per Capita Personal Income,2021 Per Capita Personal Income,2022 Per Capita Personal Income,2022 Rank,2022 Per Capita Income as a Percent of Georgia Total,2022 Per Capita Income as a Percent of Southeast Total,2022 Per Capita Income as a Percent of U.S. Total,"2021-2022 Per Capita Income, Percent Change","2013-2022 Per Capita Income, Percent Change",2013-2022 Rank,"2022 Per Capita Net Earnings, Dollars","2022 Per Capita Dividends, Interest, and Rent, Dollars"
THOMAS,"$35,941","$36,894","$39,645","$39,272","$41,126","$43,163","$43,749","$47,490","$53,241","$53,576",22,94.7%,91.2%,81.8%,0.6%,49.1%,62,"$28,412","$10,973"
TIFT,"$31,003","$32,776","$35,722","$34,466","$35,112","$36,516","$37,694","$41,453","$45,381","$44,567",64,78.8%,75.8%,68.1%,-1.8%,43.7%,88,"$25,326","$6,710"
TOOMBS,"$31,402","$31,728","$32,905","$33,345","$33,561","$34,509","$35,372","$39,384","$42,723","$41,673",96,73.6%,70.9%,63.7%,-2.5%,32.7%,147,"$22,809","$4,910"
TOWNS,"$31,298","$31,403","$33,508","$34,715","$36,165","$37,483","$39,910","$44,133","$47,696","$47,620",40,84.2%,81.0%,72.7%,-0.2%,52.2%,42,"$15,032","$13,723"
TREUTLEN,"$26,016","$25,919","$27,586","$28,337","$29,977","$30,156","$31,733","$35,317","$37,701","$36,373",145,64.3%,61.9%,55.6%,-3.5%,39.8%,116,"$19,131","$3,656"
TROUP,"$31,935","$32,981","$33,891","$34,421","$34,700","$35,626","$37,363","$41,256","$44,969","$44,692",60,79.0%,76.0%,68.3%,-0.6%,39.9%,114,"$25,712","$6,709"
TURNER,"$28,927","$29,498","$31,127","$29,665","$30,352","$30,097","$32,765","$34,183","$38,251","$36,913",138,65.2%,62.8%,56.4%,-3.5%,27.6%,157,"$18,416","$3,714"
TWIGGS,"$31,796","$34,318","$34,447","$35,867","$37,646","$40,819","$39,266","$41,146","$44,766","$44,484",65,78.6%,75.7%,67.9%,-0.6%,39.9%,115,"$21,710","$5,611"
UNION,"$30,754","$31,917","$34,433","$35,304","$36,781","$37,622","$39,239","$41,837","$45,300","$44,591",62,78.8%,75.9%,68.1%,-1.6%,45.0%,83,"$16,554","$11,406"
UPSON,"$29,054","$30,072","$31,185","$32,257","$32,490","$33,542","$35,346","$37,311","$41,489","$41,014",105,72.5%,69.8%,62.6%,-1.1%,41.2%,102,"$21,953","$5,587"
WALKER,"$28,368","$29,136","$30,375","$31,192","$32,447","$33,663","$35,072","$37,808","$41,559","$42,301",87,74.7%,72.0%,64.6%,1.8%,49.1%,61,"$23,221","$6,111"
WALTON,"$32,537","$33,942","$36,033","$37,392","$39,072","$40,616","$43,065","$46,685","$50,561","$51,707",26,91.4%,88.0%,79.0%,2.3%,58.9%,16,"$33,706","$6,801"
WARE,"$27,978","$29,135","$30,500","$31,200","$32,175","$32,668","$33,268","$36,443","$39,081","$38,420",130,67.9%,65.4%,58.7%,-1.7%,37.3%,127,"$18,227","$4,719"
WARREN,"$27,833","$29,199","$31,186","$31,637","$32,792","$34,200","$35,622","$40,325","$41,327","$40,184",114,71.0%,68.4%,61.4%,-2.8%,44.4%,86,"$19,009","$4,958"
WASHINGTON,"$30,297","$31,228","$31,662","$32,699","$34,192","$34,840","$35,182","$39,941","$40,814","$40,316",112,71.2%,68.6%,61.6%,-1.2%,33.1%,144,"$19,579","$6,606"
WAYNE,"$27,306","$28,138","$29,362","$28,526","$29,682","$31,165","$32,367","$35,791","$38,894","$37,869",134,66.9%,64.4%,57.8%,-2.6%,38.7%,122,"$21,184","$4,174"
WEBSTER,"$30,471","$29,610","$30,803","$32,048","$34,070","$34,635","$37,833","$39,904","$40,385","$39,491",123,69.8%,67.2%,60.3%,-2.2%,29.6%,154,"$21,808","$5,272"
WHEELER,"$17,717","$17,472","$18,130","$18,147","$19,021","$19,052","$19,702","$22,265","$23,257","$23,545",159,41.6%,40.1%,36.0%,1.2%,32.9%,145,"$12,013","$2,008"
WHITE,"$29,656","$32,274","$34,336","$35,178","$37,350","$38,700","$40,500","$43,654","$47,944","$49,331",33,87.2%,83.9%,75.3%,2.9%,66.3%,6,"$26,348","$9,088"
WHITFIELD,"$30,312","$32,637","$35,128","$35,776","$36,279","$38,526","$40,193","$42,967","$44,941","$45,299",52,80.0%,77.1%,69.2%,0.8%,49.4%,59,"$27,048","$7,856"
WILCOX,"$22,916","$23,434","$24,640","$24,793","$26,468","$26,191","$28,160","$28,791","$32,436","$33,327",153,58.9%,56.7%,50.9%,2.7%,45.4%,79,"$16,909","$3,460"
WILKES,"$32,886","$34,938","$36,916","$38,073","$40,215","$40,780","$41,626","$42,687","$47,613","$52,916",23,93.5%,90.0%,80.8%,11.1%,60.9%,11,"$29,600","$7,251"
WILKINSON,"$30,383","$32,362","$33,254","$33,493","$34,034","$35,155","$36,020","$39,924","$42,739","$43,102",80,76.2%,73.3%,65.8%,0.8%,41.9%,99,"$21,865","$5,742"
WORTH,"$28,707","$28,397","$30,015","$30,757","$31,977","$33,134","$35,072","$38,257","$41,792","$40,968",108,72.4%,69.7%,62.6%,-2.0%,42.7%,92,"$22,966","$5,558"
GEORGIA,"$37,486","$39,551","$41,529","$42,744","$44,838","$46,626","$48,535","$51,469","$56,184","$56,589",,100.0%,86.4%,96.3%,0.7%,51.0%,,"$35,656","$10,500"
SOUTHEAST,"$39,251","$40,962","$42,618","$43,437","$45,300","$47,228","$49,379","$52,454","$57,604","$58,774",,103.9%,89.8%,100.0%,2.0%,49.7%,,"$34,226","$12,344"
UNITED STATES,"$44,401","$46,287","$48,060","$48,971","$51,004","$53,309","$55,547","$59,153","$64,430","$65,470",,115.7%,100.0%,111.4%,1.6%,47.5%,,"$40,545","$12,917"
,,,,,,,,,,,,,,,,,,,
"Source: U.S. Bureau of Economic Analysis, Regional Data, (CAINC30).",,,,,,,,,,,,,,,,,,,
Notes: - Data tabulation not appropriate.,,,,,,,,,,,,,,,,,,,
"Per Capita Personal Income is calculated as the personal income of the residents of a given area divided by the resident population of the area. In computing per capita personal income, BEA uses the Census Bureau's annual midyear population estimates. Except for college students and other seasonal populations, which are measured on April 1, the population for all years is estimated on July 1.",,,,,,,,,,,,,,,,,,,
"The local area estimates of per capita personal income should be used cautiously for several reasons. In some instances, the change in the per capita personal income of an area may be the result of unusual conditions. For example, the income of an area may be raised for a year as the result of a bumper crop, or it may be reduced for a year as the result of a hurricane. In other instances, the per capita personal income of an area may reflect the income levels of certain groups of the resident population, but it may not be indicative of the economic well being of the residents of the area. For example, the per capita income of an area may be substantially raised for several years by a major construction project such as a defense facility, power plant, or dam that attracts highly paid workers whose wages and salaries are measured at the construction site. However, this high per capita income may not be indicative of the well being of most of the residents of the area (or, in many cases, of the resident construction workers themselves, because they frequently send a substantial portion of their wages to dependents who live in other areas).",,,,,,,,,,,,,,,,,,,
"Conversely, the per capita income of an area may be reduced by the presence of a large institutional population like that of a college or a prison, because little income is attributed to the residents of these institutions. However, this low income may not be indicative of the economic well being of most of the residents of the area (or, in many cases, of the institutional populations, because some of these populations, such as college students, typically receive support from their families who live in other areas). Caution must be used where the population changes rapidly.",,,,,,,,,,,,,,,,,,,
"Per capita income of counties where farm proprietors' income is a large portion of personal income can also be misleading. Farm proprietors' income reflects current production, not current cash flows. Farm proprietors' income excludes sales out of inventories, which are included in current gross receipts, because these sales represent income from a previous year's production, not from current production. Furthermore, farm proprietors' income includes the value of additions to inventories. Therefore, the estimates of farm proprietors' income do not reflect the farmers' attempts to regulate their cash flow by adjusting inventories. In addition, the per capita income of sparsely populated counties that are dependent on farming reacts more sharply to weather and world market demand and to changing government polices affecting agriculture than the per capita income of counties where the sources of income are more diversified.",,,,,,,,,,,,,,,,,,,
Net earnings are total earnings less personal contributions for social insurance adjusted to place of residence.,,,,,,,,,,,,,,,,,,,
